Plot,Tree_ID,Species1,n,Area_cm2,SLA,Date.Dried
H13,H13T15,Canarium pilosum,3,625.95,78.04594604338605,2014-08-21T00:00:00Z
H13,H13T24,Macaranga gigantea,3,998.5999999999999,187.76852722423806,2014-08-21T00:00:00Z
H13,H13T31,Macaranga conifera,3,28.15,91.13358714751904,2014-08-21T00:00:00Z
H13,H13T47,Rhodamnia cinerea,3,55.5,147.23646427696943,2014-08-21T00:00:00Z
H13,H13T48,Macaranga heynei,3,53.2,131.61062923345696,2014-08-21T00:00:00Z
H13,H13T73,Macaranga trichocarpa,3,64.5,226.30255997266758,2014-08-21T00:00:00Z
H16,H16T10,Garcinia parvifolia,3,19.5,166.66666666666666,2014-07-02T00:00:00Z
H16,H16T11,Calophyllum teysmannii,3,21,54.951519024745565,2014-07-02T00:00:00Z
H16,H16T12,Timonius wallichianus,3,43.65,143.49012474012474,2014-07-02T00:00:00Z
H16,H16T18,Garcinia parvifolia,3,28.75,73.47452761248564,2014-07-02T00:00:00Z
H16,H16T36,Garcinia parvifolia,3,26.65,169.08526256352343,2014-07-02T00:00:00Z
H16,H16T48,Rhodamnia cinerea,3,27.5,93.25745257452574,2014-07-02T00:00:00Z
H16,H16T75,Garcinia parvifolia,3,22.75,150.97402597402598,2014-07-02T00:00:00Z
H16,H16T89,Garcinia parvifolia,3,25.1,155.2864782276547,2014-07-02T00:00:00Z
H18,H18T06,Baccaurea polyneura,3,76.45,81.22139660989308,2014-08-19T00:00:00Z
H18,H18T12,Macaranga trichocarpa,3,53.400000000000006,144.85101744186045,2014-08-19T00:00:00Z
H18,H18T26,Diospyros lanceifolia,3,24.549999999999997,91.07482993197279,2014-08-19T00:00:00Z
H18,H18T47,Macaranga conifera,3,31,114.52257235445302,2014-08-19T00:00:00Z
H21,H21T04,Gynotroches axillaris,3,79.55000000000001,103.14067734532247,2014-07-03T00:00:00Z
H21,H21T07,Xanthophyllum flavescens,3,55,123.18353207578528,2014-07-03T00:00:00Z
H21,H21T08,Garcinia parvifolia,3,14.15,139.1860238141714,2014-07-03T00:00:00Z
H21,H21T10,Croton adumbratus,3,64.75,154.87659548726634,2014-07-03T00:00:00Z
H21,H21T12,Litsea elliptica,3,38.45,111.0780015336912,2014-07-03T00:00:00Z
H21,H21T34,Macaranga heynei,3,35.9,193.5106073815751,2014-07-03T00:00:00Z
H21,H21T36,Elaeocarpus stipularis,3,41.25,164.49275362318843,2014-07-03T00:00:00Z
H23,H23T07,Cratoxylum cochinchinense,3,14.25,187.5,2014-08-13T00:00:00Z
H23,H23T09,Pternandra echinata,3,11.65,131.68650793650795,2014-08-13T00:00:00Z
H23,H23T13,Horsfieldia sucosa,3,78.1,67.74169734433136,2014-08-13T00:00:00Z
H23,H23T15,Elaeocarpus stipularis,3,24.1,116.08923578751165,2014-08-13T00:00:00Z
H23,H23T21,Buchanania sessifolia,3,20.35,88.8073394495413,2014-08-13T00:00:00Z
H23,H23T26,Macaranga heynei,3,95.19999999999999,131.27821611700818,2014-08-13T00:00:00Z
H23,H23T29,Baccaurea macrocarpa,3,11.850000000000001,156.04166666666669,2014-08-13T00:00:00Z
H23,H23T36,Tabernaemontana corymbosa,3,60.15,101.74744801033461,2014-08-13T00:00:00Z
H8,H8T03,Gironniera nervosa,3,42.25,92.77569203859665,2014-05-19T00:00:00Z
H8,H8T05,Gynotroches axillaris,3,79.15,95.9121845888987,2014-05-19T00:00:00Z
H8,H8T116,Garcinia parvifolia,3,12.85,167.30019493177386,2014-05-19T00:00:00Z
H8,H8T14,Dialium platysepalum,3,28.6,203.10045685539757,2014-05-19T00:00:00Z
