Plot,Tree_ID,Species1,n,Area_cm2,SLA,Date.Dried
G14,G14T65,Rhodamnia cinerea,3,17.450000000000003,78.37612000402697,2014-07-07T00:00:00Z
G14,G14T68,Koompassia malaccensis,3,236.95,108.00049799644756,2014-07-07T00:00:00Z
G14,G14T69,Calophyllum teysmannii,3,9.85,68.57664233576642,2014-07-07T00:00:00Z
G14,G14T72,Gonystylus confusus,3,76.9,71.75664451827242,2014-07-07T00:00:00Z
G14,G14T97,Elaeocarpus petiolatus,3,108.55000000000001,148.61020992366412,2014-07-07T00:00:00Z
G17,G17T02,Knema latericia,3,59.7,80.36546263160105,2014-06-03T00:00:00Z
G17,G17T09,Garcinia parvifolia,3,37.5,120.96362312449361,2014-06-03T00:00:00Z
G17,G17T10,Timonius wallichianus,3,20.55,151.13014066358852,2014-06-03T00:00:00Z
G17,G17T11,Diospyros lanceifolia,3,18.45,68.92401088549298,2014-06-03T00:00:00Z
G17,G17T118,Elaeocarpus petiolatus,3,126.44999999999999,103.6597296020363,2014-06-03T00:00:00Z
G17,G17T152,Macaranga heynei,3,34.650000000000006,110.10722313346699,2014-06-03T00:00:00Z
G17,G17T34,Burseraceae 1,1,377.5,84.56541218637992,2014-06-03T00:00:00Z
G17,G17T36,Horsfieldia polyspherula,3,44.45,64.4823928767596,2014-06-03T00:00:00Z
G17,G17T38,Elaeocarpus stipularis,3,25.65,106.81088027414863,2014-06-03T00:00:00Z
G17,G17T39,Elaeocarpus stipularis,3,29.950000000000003,107.46288798920378,2014-06-03T00:00:00Z
G17,G17T53,Calophyllum wallichianum var. incrassatum,3,86.94999999999999,73.49433829751713,2014-06-03T00:00:00Z
G17,G17T54,Garcinia parvifolia,3,21.15,125.35302568415152,2014-06-03T00:00:00Z
G17,G17T58,Burseraceae 1,3,445.2,80.66090328301615,2014-06-03T00:00:00Z
G17,G17T64,Ardisia teysmanniana,3,33.95,162.97379831227562,2014-06-03T00:00:00Z
G17,G17T67,Elaeocarpus petiolatus,3,93.1,71.31487363108712,2014-06-03T00:00:00Z
G2,G2T01,Alstonia angustifolia,3,44.6,130.10225001281327,2014-06-25T00:00:00Z
G2,G2T10,Elaeocarpus mastersii,3,16.25,97.02400893355667,2014-06-25T00:00:00Z
G2,G2T112,Phaeanthus ophthalmicus,3,25.7,158.42923480718756,2014-06-25T00:00:00Z
G2,G2T15,Xanthophyllum eurhynchum,3,11.9,141.96581196581198,2014-06-25T00:00:00Z
G2,G2T18,Litsea elliptica,3,75.75,117.02673732385885,2014-06-25T00:00:00Z
G2,G2T22,Rhodamnia cinerea,3,27.75,90.9719387755102,2014-06-25T00:00:00Z
