main_ID	accepted name only from POWO or WCSP (not used in Singapore literature)	type var./subsp.	non-type var./subsp.	Species with infraspecific taxa	In Mockup 7Sep2020	Excluded	Parenthetical authors	Infraspecific taxon	Issues with Full Names with Authors	XinYi	Reuben	Full Names with Authors	name_ID	Leipzig Cat. Vasc. Pl. (1)	Leipzig Cat. Vasc. Pl. (2)	Accepted data source (for Full Name & Author(s))	IPNI	Priority	DJM to check before IPNI	Corrections for Kew	Notes for Kew	Temp_Basionym info for IPNI	IPNI_url	Conflicting Names Data	Issues to resolve (137)	FoS	FoS manuscripts received (author)	Full Name without Authors	Division	Class	Order	Family (Current)	Native	Excluded (Reason)	status_as_sp	status_synrefs_ID	status_synrefs_ID_Ref	status_synrefs_ID_IDandRef	Recent status changes still to reflect in synrefs (& update in FoS manuscripts)	Old status_synrefs_IDandRef(Nov2021)	Very old status_synrefs_IDandRef(Sep2020)	Status in mockup 7 Sep2020	change since mockup	Status (2022)	match	Status in Checklist ms as sent to Printer 4 April 2022	Order in Checklist ms as sent to Printer 4 April 2022	Full status in Checklist ms as sent to Printer 4 April 2022	Status change reason	Historical Casuals	Stu_TempStatus	c. 480 Status changes 2009-2020	Reason for status change 2009-2020	c. 70 Status changes 2008-2009	Chong et al. (2009)	RDB (2008)	Cultivated	Habit	Hybrid	Synonyms in Synrefs	Notes (for admin.)	ys edits	ys refs	other contributor's edits	IPNI_ID	OLD_Selected Synonyms	OLD_Synonyms in synrefs	Status (2022) (COPY)	main_IDof infraspecific groups	stu27	type var./subsp.	non-type var./subsp.	sort	StuA	StuB
3441					no		no	no				Acacia cincinnata F.Muell.	17	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	2			n/a		https://www.ipni.org/n/469992-1					Acacia cincinnata	Spermatophyta	Magnoliopsida	Fabales	Fabaceae	no			38	Chong et al. (2009)	38 - Chong et al. (2009)				Not in mockup (because Cultivated Only)	n/a	Cultivated Only	Yes		Absent from Checklist ms because Cultivated Only								Cultivated Only		yes	tree		None					urn:lsid:ipni.org:names:469992-1		none	Cultivated Only						3	3
3442					no		no	no				Acacia confusa Merr.	19	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	2			n/a		https://www.ipni.org/n/470039-1					Acacia confusa	Spermatophyta	Magnoliopsida	Fabales	Fabaceae	no			44	Chong et al. (2009)	44 - Chong et al. (2009)				Not in mockup (because Cultivated Only)	n/a	Cultivated Only	Yes		Absent from Checklist ms because Cultivated Only								Cultivated Only		yes	tree		None					urn:lsid:ipni.org:names:470039-1		none	Cultivated Only						4	4
3443					no		no	no				Acacia holosericea A.Cunn. ex G.Don	21	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	2			n/a		https://www.ipni.org/n/470538-1					Acacia holosericea	Spermatophyta	Magnoliopsida	Fabales	Fabaceae	no			49	Chong et al. (2009)	49 - Chong et al. (2009)				Not in mockup (because Cultivated Only)	n/a	Cultivated Only	Yes		Absent from Checklist ms because Cultivated Only								Cultivated Only		yes	tree		None					urn:lsid:ipni.org:names:470538-1		none	Cultivated Only						1	1
4240					yes		no	no				Acacia mangium Willd.	23	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/470839-1			yes		Acacia mangium	Spermatophyta	Magnoliopsida	Fabales	Fabaceae	no			60	Lok et al. (2010)	60 - Lok et al. (2010)				"Non-native; naturalised (Lok et al., 2010)."	no	Naturalised	Yes	Naturalised	1721	"Non-native, naturalised (Lok et al., 2010)."							Naturalised		yes	tree		None					urn:lsid:ipni.org:names:470839-1		none	Naturalised						7	7
5027					yes		no	no				Acalypha arvensis Poepp.	31		LCVP says Acalypha arvensis Poepp. is a synonym of Acalypha aristata Kunth	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/1115-2			yes		Acalypha arvensis	Spermatophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	no			66	Van Welzen et al. (2020)	66 - Van Welzen et al. (2020)				Native; NE.	yes	Naturalised	Yes	Naturalised	1640	"Non-native, naturalised (Van Welzen et al., 2020)."			new record (GBS 2020)						no	tree		Acalypha alopecuroidea auct. non Jacq.					urn:lsid:ipni.org:names:1115-2	Acalypha alopecuroidea auct. non Jacq.	Acalypha alopecuroidea auct. non Jacq.	Naturalised						1	2
3119					no		yes	no				Acalypha chamaedrifolia (Lam.) Müll.Arg.	33	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	2			n/a		https://www.ipni.org/n/1012504-2					Acalypha chamaedrifolia	Spermatophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	no			71	Chong et al. (2009)	71 - Chong et al. (2009)				Not in mockup (because Cultivated Only)	n/a	Cultivated Only	Yes		Absent from Checklist ms because Cultivated Only								Cultivated Only		yes	shrub		None					urn:lsid:ipni.org:names:1012504-2		none	Cultivated Only						1	1
3120					no		no	no				Acalypha hispida Burm.f.	35	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/337478-1					Acalypha hispida	Spermatophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	no			45738	assessed here	45738 - assessed here			73 - Chong et al. (2009)	Not in mockup {but should be}		Casual	Yes	Casual	1641	"Non-native, casual (assessed here)."	Occasional plant found in the wild		Naturalised (Nat. Singapore 2020)				Cultivated Only		yes	shrub		None					urn:lsid:ipni.org:names:337478-1		none	Casual						6	6
828					yes		no	no				Acalypha indica L.	36	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/337497-1			yes		Acalypha indica	Spermatophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Uncertain			75	Chong et al. (2009)	75 - Chong et al. (2009)				"Cryptogenic (Chong et al., 2009)."	no	Cryptogenic	Yes	Cryptogenic	1642	"Cryptogenic (Chong et al., 2009)."							Weed of Uncertain Origin		no	herb		None					urn:lsid:ipni.org:names:337497-1		none	Cryptogenic						11	11
827					yes		no	no				Acalypha lanceolata Willd.	37	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/337529-1			yes		Acalypha lanceolata	Spermatophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Uncertain			83	Chong et al. (2009)	83 - Chong et al. (2009)				"Cryptogenic (Chong et al., 2009)."	no	Cryptogenic	Yes	Cryptogenic	1643	"Cryptogenic (Chong et al., 2009)."							Weed of Uncertain Origin		no	herb		Acalypha boehmerioides Miq.					urn:lsid:ipni.org:names:337529-1		Acalypha boehmerioides Miq.	Cryptogenic						1	6
3121					yes		no	no				Acalypha siamensis Oliv. ex Gage	38	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/337811-1			yes		Acalypha siamensis	Spermatophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	no			57901	Chong et al. (2009)	86 - Chong et al. (2009)				"Non-native; casual (Chong et al., 2009)."	no	Naturalised	Yes	Naturalised	1644	"Non-native, naturalised (Teo et al., 2011)."							Casual		yes	shrub		None					urn:lsid:ipni.org:names:337811-1		none	Casual						9	9
