main_ID	accepted name only from POWO or WCSP (not used in Singapore literature)	type var./subsp.	non-type var./subsp.	Species with infraspecific taxa	In Mockup 7Sep2020	Excluded	Parenthetical authors	Infraspecific taxon	Issues with Full Names with Authors	XinYi	Reuben	Full Names with Authors	name_ID	Leipzig Cat. Vasc. Pl. (1)	Leipzig Cat. Vasc. Pl. (2)	Accepted data source (for Full Name & Author(s))	IPNI	Priority	DJM to check before IPNI	Corrections for Kew	Notes for Kew	Temp_Basionym info for IPNI	IPNI_url	Conflicting Names Data	Issues to resolve (137)	FoS	FoS manuscripts received (author)	Full Name without Authors	Division	Class	Order	Family (Current)	Native	Excluded (Reason)	status_as_sp	status_synrefs_ID	status_synrefs_ID_Ref	status_synrefs_ID_IDandRef	Recent status changes still to reflect in synrefs (& update in FoS manuscripts)	Old status_synrefs_IDandRef(Nov2021)	Very old status_synrefs_IDandRef(Sep2020)	Status in mockup 7 Sep2020	change since mockup	Status (2022)	match	Status in Checklist ms as sent to Printer 4 April 2022	Order in Checklist ms as sent to Printer 4 April 2022	Full status in Checklist ms as sent to Printer 4 April 2022	Status change reason	Historical Casuals	Stu_TempStatus	c. 480 Status changes 2009-2020	Reason for status change 2009-2020	c. 70 Status changes 2008-2009	Chong et al. (2009)	RDB (2008)	Cultivated	Habit	Hybrid	Synonyms in Synrefs	Notes (for admin.)	ys edits	ys refs	other contributor's edits	IPNI_ID	OLD_Selected Synonyms	OLD_Synonyms in synrefs	Status (2022) (COPY)	main_IDof infraspecific groups	stu27	type var./subsp.	non-type var./subsp.	sort	StuA	StuB
741.2			x			Excluded	yes	yes				Dillenia excelsa (Jack) Gilg var. pubescens (Corner) Masam.	2921			$		1		RG	"For Dillenia excelsa, POWO incorrectly says ""Martelli ex Gilg."" and links to wrong IPNI ID."		Absent from IPNI Jan. 2022 but they say they will add this by Apr. 2022	POWO Jan. 2022 does not recognise infraspecific taxa.				Dillenia excelsa var. pubescens	Spermatophyta	Magnoliopsida	Dilleniales	Dilleniaceae	no	"Reported (as Wormia oblonga Wall. ex Hook.f. & Thomson) for Singapore by Hooker & Thomson in Hooker, FBI (1872) but there is no evidence this taxon has even been found in Singapore. L.Neo, pers. comm. Dec. 2021"		0			x					Excluded	Yes	In Excluded section of Checklist ms only as synonym Wormia oblonga Wall. ex Hook.f. & Thomson.  The current name Dillenia excelsa (Jack) Gilg var. pubescens (Corner) Masam. has not been used in SL.	This name in db is absent from Checklist ms													Wormia oblonga Wall. ex Hook.f. & Thomson								Excluded	741.2	x		x	x	1	2
741.3			x				yes	yes				Dillenia excelsa (Jack) Gilg var. tomentella (Martelli) Masam.	2922			$		1		"IMT, RG"	"Absent from IPNI & POWO Jan. 2021. Also IPNI & POWO don't give the basionym author of Wormia tomentella. Should be (Martelli) Ridl., not just Ridl. And for Dillenia excelsa, POWO incorrectly says ""Martelli ex Gilg."" and links to wrong IPNI ID."		Absent from IPNI Jan. 2022 but they say they will add this by Apr. 2022	POWO Jan. 2022 does not recognise infraspecific taxa.				Dillenia excelsa var. tomentella	Spermatophyta	Magnoliopsida	Dilleniales	Dilleniaceae	yes			59106			x					Critically Endangered	Yes	Critically Endangered	1518	Native; CR (assessed here).	assessed here by Louise											Wormia tomentella (Martelli) Ridl.								Not Evaluated	741.3	x		x	x	2	4
742					yes		no	no				Dillenia grandifolia Wall. ex Hook.f. & Thomson	2924		LCVP says author is Wall.	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/60476474-2	POWO says Dillenia grandifolia Wall. ex Hook.f. & Thomson is a synonym of Dillenia ovata Wall. ex Hook.f. & Thomson		yes		Dillenia grandifolia	Spermatophyta	Magnoliopsida	Dilleniales	Dilleniaceae	yes			10731	Chong et al. (2009)	10731 - Chong et al. (2009)				"Native; EN (Chong et al., 2009)."	no	Endangered	Yes	Endangered	1519	"Native; EN (Chong et al., 2009)."							Endangered	Endangered	yes	tree		Dillenia scortechinii (King) Ridl.; Wormia scortechinii King; Dillenia ovata auct. non Wall. ex Hook.f. & Thomson					urn:lsid:ipni.org:names:60476474-2	Wormia scortechinii King	Dillenia scortechinii (King) Ridl.; Wormia scortechinii King	Endangered						18	22
743					yes	Excluded (Cultivated Only)	no	no				Dillenia indica L.	2925	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	2			n/a		https://www.ipni.org/n/316684-1			yes		Dillenia indica	Spermatophyta	Magnoliopsida	Dilleniales	Dilleniaceae	no	Previously treated as both native and casual but now believed to have only ever been in cultivation		10743	Chong et al. (2009)	10743 - Chong et al. (2009)				"Native; EX (Chong et al., 2009)."	no	Excluded (Cultivated Only)	Yes	In Excluded section of Checklist ms	This name in db is absent from Checklist ms		Reported for Singapore without clarifying only in cultivation in early literature.						Extinct	Nationally Extinct	yes	tree		None					urn:lsid:ipni.org:names:316684-1		none	Cultivated Only						16	16
3675					no		no	no				Dillenia ingens B.L.Burtt	2926	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	2			n/a		https://www.ipni.org/n/316685-1					Dillenia ingens	Spermatophyta	Magnoliopsida	Dilleniales	Dilleniaceae	no			10756	Chong et al. (2009)	10756 - Chong et al. (2009)				Not in mockup (because Cultivated Only)	n/a	Cultivated Only	Yes		Absent from Checklist ms because Cultivated Only								Cultivated Only		yes	tree		None					urn:lsid:ipni.org:names:316685-1		none	Cultivated Only						1	1
3676					yes		no	no				Dillenia ovata Wall. ex Hook.f. & Thomson	2928	ok	Name and authors accepted by LCVP	POWO		1		IMT	"IPNI incorrectly says ""Wall."" and POWO is linked to wrong IPNI ID."		https://www.ipni.org/n/316726-1					Dillenia ovata	Spermatophyta	Magnoliopsida	Dilleniales	Dilleniaceae	no			45778	assessed here	45778 - assessed here			10757 - Wong et al. (2013)	"Native; EN (Wong et al., 2013)."	yes	Casual	Yes	Casual	1520	"Non-native, casual (assessed here)."	Only known from two trees at Shinto shrine that were probably planted during World War II						Cultivated Only		yes	tree		None					urn:lsid:ipni.org:names:316726-1		none	Casual						2	2
3677					no		no	no				Dillenia philippinensis Rolfe	2929	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	2			n/a		https://www.ipni.org/n/316735-1					Dillenia philippinensis	Spermatophyta	Magnoliopsida	Dilleniales	Dilleniaceae	no			10759	Chong et al. (2009)	10759 - Chong et al. (2009)				Not in mockup (because Cultivated Only)	n/a	Cultivated Only	Yes		Absent from Checklist ms because Cultivated Only								Cultivated Only		yes	tree		None					urn:lsid:ipni.org:names:316735-1		none	Cultivated Only						1	1
744					yes		yes	no				Dillenia pulchella (Jack) Gilg	2930	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/316740-1			yes		Dillenia pulchella	Spermatophyta	Magnoliopsida	Dilleniales	Dilleniaceae	yes			59109	Chong et al. (2009)	10760 - Chong et al. (2009)				"Native; CR (Chong et al., 2009)."	no	Extinct	Yes	Extinct	1521	Native; NEx (assessed here).	changed from CR; assessed here by Louise						Critically Endangered	Critically Endangered	no	tree		Wormia pulchella Jack	"Authors should be (Jack) Gilg according to Tan & Latiff (2014). A taxonomic study of Dillenia L. (Dilleniaceae) in Peninsular Malaysia. Malayan Nature Journal 2014, 66(3), 338-353. IPNI & Tropicos don't give basionym author."				urn:lsid:ipni.org:names:316740-1	Wormia pulchella Jack	Wormia pulchella Jack	Critically Endangered						14	18
745					yes		no	no				Dillenia reticulata King	2931	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/316747-1			yes		Dillenia reticulata	Spermatophyta	Magnoliopsida	Dilleniales	Dilleniaceae	yes			10771	Wong et al. (2013)	10771 - Wong et al. (2013)				"Native; CR (Wong et al., 2013)."	no	Critically Endangered	Yes	Critically Endangered	1522	"Native; CR (Wong et al., 2013)."							Critically Endangered	Critically Endangered	yes	tree		None					urn:lsid:ipni.org:names:316747-1		none	Critically Endangered						15	15
746					yes		yes	no	DJM-SL			Dillenia suffruticosa (Griff. ex Hook.f. & Thomson) Martelli	2933	ok	Name and authors accepted by LCVP	$		1		IMT / RG	"IPNI & POWO have wrong authors. The name Wormia suffruticosa in the Griffith publication is invalid because there is no analysis (only fig. 1 of the plate being Wormia suffruticosa; figs 2 and 3 being other species - see the contents page) and the name was validad by Hooker & Thomson, not just Hooker (as claimed by IPNI). DJM: Dillenia suffruticosa (Griff. ex Hook.f. & Thomson) Martelli is correct."		https://www.ipni.org/n/316765-1		"Louise was emailed 12 Aug 2021 to ask if this should be (Griff. ex Hook.f. & Thomson) Martelli. Concerns over the validity of the 1854 protologue illustration of Wormia suffruticosa [Wormia suffruticosa Griff., Not. Pl. Asiat. 4: 706 (1854).].//Louise confirmed the analyses were not of the Wormia suffruticsa so not validly published"	yes		Dillenia suffruticosa	Spermatophyta	Magnoliopsida	Dilleniales	Dilleniaceae	yes			10784	Wong et al. (2013)	10784 - Wong et al. (2013)				"Native; LC (Wong et al., 2013)."	no	Least Concern	Yes	Least Concern	1523	"Native; LC (Wong et al., 2013)."							Common	"(not listed because ""Common"")"	yes	shrub		Wormia subsessilis Miq.; Wormia suffruticosa Griff. ex Hook.f. & Thomson					urn:lsid:ipni.org:names:316765-1	Wormia suffruticosa Griff. ex Hook.f. & Thomson	Wormia subsessilis Miq.; Wormia suffruticosa Griff. ex Hook.f. & Thomson	Least Concern						26	32
1831					yes		no	no				Dilochia wallichii Lindl.	2934	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1		RG	POWO uses the wrong IPNI id.		https://www.ipni.org/n/77209739-1			yes		Dilochia wallichii	Spermatophyta	Magnoliopsida	Asparagales	Orchidaceae	yes			10802	Yam (2013)	10802 - Yam (2013)				"Native; EX (Yam, 2013)."	no	Extinct	Yes	Extinct	2756	"Native; NEx (Yam, 2013)."							Extinct	Nationally Extinct	no	herb		None					urn:lsid:ipni.org:names:77209739-1		none	Extinct						15	15
1032					yes		no	no				Dimeria ornithopoda Trin.	2937	ok	Name and authors accepted by LCVP	FoS (= IPNI & POWO)	x	1			n/a		https://www.ipni.org/n/399311-1			yes		Dimeria ornithopoda	Spermatophyta	Magnoliopsida	Poales	Poaceae	yes			10812	Veldkamp et al. (2019)	10812 - Veldkamp et al. (2019)				"Native; LC (Veldkamp et al., 2019)."	no	Least Concern	Yes	Least Concern	3071	"Native; LC (Veldkamp et al., 2019)."							Common	(not listed because considered naturalised)	no	herb		Dimeria glabra Ridl.; Dimeria ornithopoda Trin. subvar. imperfecta Hack.; Dimeria ornithopoda Trin. var. glabra (Ridl.) Jansen; Dimeria ornithopoda Trin. var. ornithopoda					urn:lsid:ipni.org:names:399311-1		Dimeria glabra Ridl.; Dimeria ornithopoda Trin. subvar. imperfecta Hack.; Dimeria ornithopoda Trin. var. glabra (Ridl.) Jansen; Dimeria ornithopoda Trin. var. ornithopoda	Least Concern						8	23
3678					yes		no	no	DJM			Dimocarpus lichi Lour.	2942		"LCVP says ""Dimocarpus litchi Lour."" {note spelling of epithet} isa synonym of Litchi chinensis Sonn."	FoSms (= IPNI & POWO)	x	1			n/a		https://www.ipni.org/n/782794-1	POWO says Dimocarpus lichi Lour. is a synonym of Dimocarpus longan subsp. malesianus Leenh.//DJM: But recognised as a good species by van Welzen		yes	van Welzen	Dimocarpus lichi	Spermatophyta	Magnoliopsida	Sapindales	Sapindaceae	yes			46458	assessed here	46458 - assessed here		10829 - Van Welzen (in prep.)			no	Data Deficient	Yes	Data Deficient	3509	Native; DD (assessed here).			"As the species is native but was also widely cultivated in the past, it is difficult to know from secondary forest what trees are native and what are former kampong trees to assess the wild population"			x	Casual (as Dimocarpus longan)		yes	tree		"Dimocarpus cinereus (Radlk.) Boonsuk & Chantar. var. cinereus; Dimocarpus longan auct. non Lour.; Dimocarpus longan Lour. subsp. malesianus Leenh.; Dimocarpus longan Lour. var. malesianus Leenh.; Dimocarpus malesianus (Leenh.) Lithanatudom & Chaowasku, nom. illeg. superfl.; Euphoria malaiensis (Griff.) Radlk."	Boonsuk & Chantaranothai (2017) says this is native to Singapore.				urn:lsid:ipni.org:names:782794-1	"Dimocarpus cinereus (Radlk.) Boonsuk & Chantar. var. cinereus; Dimocarpus longan Lour., p.p.; Dimocarpus longan Lour. subsp. malesianus Leenh.; Dimocarpus longan Lour. var. malesianus Leenh.; Dimocarpus malesianus (Leenh.) Lithanatudom & Chaowasku, nom. illeg. superfl.; Euphoria malaiensis (Griff.) Radlk."	"Dimocarpus cinereus (Radlk.) Boonsuk & Chantar. var. cinereus; Dimocarpus longan auct. non Lour.; Dimocarpus longan Lour. subsp. malesianus Leenh.; Dimocarpus longan Lour. var. malesianus Leenh.; Dimocarpus malesianus (Leenh.) Lithanatudom & Chaowasku, nom. illeg. superfl.; Euphoria malaiensis (Griff.) Radlk."	Data Deficient						2	22
1066					yes		yes	no				Dinebra chinensis (L.) P.M.Peterson & N.Snow	2948		LCVP says accepted name is Leptochloa chinensis (L.) Nees	FoS (= IPNI & POWO)	x	1			n/a		https://www.ipni.org/n/60458609-2	POWO says Dinebra chinensis (L.) P.M.Peterson & N.Snow is a synonym of Leptochloa chinensis (L.) Nees		yes		Dinebra chinensis	Spermatophyta	Magnoliopsida	Poales	Poaceae	yes			10838	Veldkamp et al. (2019)	10838 - Veldkamp et al. (2019)				"Native; LC (Veldkamp et al., 2019)."	no	Least Concern	Yes	Least Concern	3072	"Native; LC (Veldkamp et al., 2019)."				x	reassessed as native		Weed of Uncertain Origin		no	herb		Leptochloa chinensis (L.) Nees					urn:lsid:ipni.org:names:60458609-2	Leptochloa chinensis (L.) Nees	Leptochloa chinensis (L.) Nees	Least Concern						1	10
4705					yes		yes	no				Dinebra panicea (Retz.) P.M.Peterson & N.Snow	2949		LCVP says accepted name is Leptochloa panicea (Retz.) Ohwi	FoS (= IPNI & POWO)	x	1			n/a		https://www.ipni.org/n/60458620-2	POWO says Dinebra panicea (Retz.) P.M.Peterson & N.Snow is a synonym of Leptochloa panicea (Retz.) Ohwi		yes		Dinebra panicea	Spermatophyta	Magnoliopsida	Poales	Poaceae	yes			10839	Veldkamp et al. (2019)	10839 - Veldkamp et al. (2019)				"Native; CR (Veldkamp et al., 2019)."	no	Critically Endangered	Yes	Critically Endangered	3073	"Native; CR (Veldkamp et al., 2019)."												None					urn:lsid:ipni.org:names:60458620-2	Leptochloa polystachya auct. non Benth.	Leptochloa polystachya auct. non Benth.	Critically Endangered						1	1
4866					no		no	no				Dioon spinulosum Dyer ex Eichler	2955	ok	Name and authors accepted by LCVP	IPNI	x	2		RG	POWO uses wrong author abbreviation.		https://www.ipni.org/n/297061-1					Dioon spinulosum	Spermatophyta	Cycadopsida	Cycadales	Zamiaceae	no			10859	Keng (1990)	10859 - Keng (1990)				Not in mockup (because Cultivated Only)	n/a	Cultivated Only	Yes		Absent from Checklist ms because Cultivated Only													None					urn:lsid:ipni.org:names:297061-1		none	Cultivated Only						2	2
4799					no		no	no				Dioscorea alata L.	2956	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	2			n/a		https://www.ipni.org/n/317625-1					Dioscorea alata	Spermatophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	no			10860	Keng et al. (1998)	10860 - Keng et al. (1998)				Not in mockup (because Cultivated Only)	n/a	Cultivated Only	Yes		Absent from Checklist ms because Cultivated Only													None					urn:lsid:ipni.org:names:317625-1		none	Cultivated Only						4	4
752					yes		no	no				Dioscorea bulbifera L.	2957	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/323908-2			yes		Dioscorea bulbifera	Spermatophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	Uncertain			10861	Chong et al. (2009)	10861 - Chong et al. (2009)				"Cryptogenic (Chong et al., 2009)."	no	Cryptogenic	Yes	Cryptogenic	1533	"Cryptogenic (Chong et al., 2009)."							Weed of Uncertain Origin		yes	climber		Dioscorea sativa auct. non L.					urn:lsid:ipni.org:names:323908-2	Dioscorea sativa (non L.) Thunb.	Dioscorea sativa auct. non L.	Cryptogenic						14	16
4798					no		yes	no				Dioscorea esculenta (Lour.) Burkill	2961	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	2			n/a		https://www.ipni.org/n/317946-1					Dioscorea esculenta	Spermatophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	no			10874	Keng et al. (1998)	10874 - Keng et al. (1998)				Not in mockup (because Cultivated Only)	n/a	Cultivated Only	Yes		Absent from Checklist ms because Cultivated Only													None					urn:lsid:ipni.org:names:317946-1		none	Cultivated Only						2	2
754					yes		no	no				Dioscorea hispida Dennst.	2963	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/318077-1			yes		Dioscorea hispida	Spermatophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	yes			10886	Chong et al. (2009)	10886 - Chong et al. (2009)				"Native; CR (Chong et al., 2009)."	no	Critically Endangered	Yes	Critically Endangered	1534	"Native; CR (Chong et al., 2009)."							Critically Endangered	Critically Endangered	no	climber		Dioscorea daemona Roxb.; Dioscorea triphylla auct. non L.					urn:lsid:ipni.org:names:318077-1	Dioscorea daemona Roxb.; Dioscorea triphylla auct. non L.	Dioscorea daemona Roxb.; Dioscorea triphylla auct. non L.	Critically Endangered						13	16
4321					yes		no	no				Dioscorea kingii R.Knuth	2964	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/318139-1			yes		Dioscorea kingii	Spermatophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	yes			10894	Ho et al. (2018)	10894 - Ho et al. (2018)				"Native; CR (Ho et al., 2018)."	no	Critically Endangered	Yes	Critically Endangered	1535	"Native; CR (Ho et al., 2018)."			"Published as rediscovered and CR by Ho et al., Gard. Bull. Singapore 70(1): pages? (2018)"							climber		"Dioscorea porteri Prain & Burkill ex Ridl. var. andersonii Prain & Burkill ex Ridl., nom. inval."					urn:lsid:ipni.org:names:318139-1		none	Critically Endangered						3	6
755					yes		no	no				Dioscorea laurifolia Wall. ex Hook.f.	2965	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/318166-1			yes		Dioscorea laurifolia	Spermatophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	yes			10896	Wong et al. (2013)	10896 - Wong et al. (2013)				"Native; LC (Wong et al., 2013)."	no	Least Concern	Yes	Least Concern	1536	"Native; LC (Wong et al., 2013)."							Common	"(not listed because ""Common"")"	no	climber		Dioscorea oppositifolia auct. non L.					urn:lsid:ipni.org:names:318166-1		none	Least Concern						19	19
5479							no	no				Dioscorea owenii Prain & Burkill	2968			IPNI (= POWO)	x			RG	POWO says is an unplaced name		https://www.ipni.org/n/318361-1					Dioscorea owenii	Spermatophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	no			54981								Cultivated Only	Yes		Absent from Checklist ms because Cultivated Only													None															
756					yes		no	no				Dioscorea polyclades Hook.f.	2969		"LCVP spells epithet ""polyclados"""	IPNI	x	1		RG	"POWO incorrectly spells epithet ""-os"" at end."		https://www.ipni.org/n/318439-1			yes		Dioscorea polyclades	Spermatophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	yes			10913	Wong et al. (2013)	10913 - Wong et al. (2013)				"Native; CR (Wong et al., 2013)."	no	Critically Endangered	Yes	Critically Endangered	1537	"Native; CR (Wong et al., 2013)."							Critically Endangered	Critically Endangered	no	climber		None					urn:lsid:ipni.org:names:318439-1		none	Critically Endangered						20	20
757					yes		no	no			CR > CR doubtful; Any recent specimens?	Dioscorea prainiana R.Knuth	2972	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/318452-1			yes		Dioscorea prainiana	Spermatophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	yes			55618	Wong et al. (2013)	10927 - Wong et al. (2013)	x			"Native; CR (Wong et al., 2013)."	no	Extinct	Yes	Extinct	1538	Native; NEx (assessed here).	All recent collections redetermined as other species						Critically Endangered	Critically Endangered	no	climber		"Dioscorea deflexa Hook.f., nom. illeg. hom.; Dioscorea zollingeriana auct. non Kunth_[1]"					urn:lsid:ipni.org:names:318452-1	Dioscorea deflexa (non Gris.) Hook.f.	"Dioscorea deflexa Hook.f., nom. illeg. hom.; Dioscorea zollingeriana auct. non Kunth_[1]"	Extinct						11	15
758					yes		no	no		LC > VU		Dioscorea pyrifolia Kunth	2973	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/318488-1			yes		Dioscorea pyrifolia	Spermatophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	yes			10938	Wong et al. (2013)	10938 - Wong et al. (2013)				"Native; LC (Wong et al., 2013)."	no	Least Concern	Yes	Least Concern	1539	"Native; LC (Wong et al., 2013)."							Common	"(not listed because ""Common"")"	no	climber		Dioscorea cornifolia auct. non Kunth					urn:lsid:ipni.org:names:318488-1	Dioscorea cornifolia auct. non Kunth	Dioscorea cornifolia auct. non Kunth	Least Concern						20	24
759					yes		no	no				Dioscorea sansibarensis Pax	2975	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/318552-1			yes		Dioscorea sansibarensis	Spermatophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	no			10951	Chong et al. (2009)	10951 - Chong et al. (2009)				"Non-native; naturalised (Chong et al., 2009)."	no	Naturalised	Yes	Naturalised	1540	"Non-native, naturalised (Chong et al., 2009)."							Naturalised		yes	climber		None					urn:lsid:ipni.org:names:318552-1		none	Naturalised						16	16
760					yes		no	no				Dioscorea stenomeriflora Prain & Burkill	2977	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/318627-1			yes		Dioscorea stenomeriflora	Spermatophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	yes			45541	assessed here	45541 - assessed here			10966 - Chong et al. (2018)	"Native; NE—presumed Extinct but later rediscovered and pending re-evaluation (Chong et al., 2018)."	yes	Critically Endangered	Yes	Critically Endangered	1541	Native; CR (assessed here).	Estimated fewer than 50 plants in Singapore		"Only a single adult plant in each of three localities // But mockup says ""presumed Extinct but later rediscovered and pending re-evaluation (Chong et al., 2018)."""				Extinct	Nationally Extinct	no	climber		Peripetasma polyanthum Ridl.					urn:lsid:ipni.org:names:318627-1	Peripetasma polyanthum Ridl.	Peripetasma polyanthum Ridl.	Critically Endangered						17	18
5397					yes		yes	no				Dioscorea tenuifolia Ridl.	2978	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/318676-1	POWO Dec. 2021 says Dioscorea tenuifolia Ridl. is a synonym of Dioscorea orbiculata var. tenuifolia (Ridl.) Thapyai but we follow Aireen for FoS		yes		Dioscorea tenuifolia	Spermatophyta	Magnoliopsida	Dioscoreales	Dioscoreaceae	yes			55619	Wong et al. (2013)	10910 - Wong et al. (2013)	x			"Native; CR (Wong et al., 2013)."	no	Vulnerable	Yes	Vulnerable	1542	Native; VU (assessed here).	Widespread but rarely flowers so not collected and also often misidentified.				Rediscovered		Extinct (as Dioscorea tenuifolia)	Nationally Extinct	no	climber		Dioscorea orbiculata Hook.f. var. tenuifolia (Ridl.) Thapyai; Dioscorea zollingeriana auct. non Kunth_[2]	"Status changed from Extinct to Rediscovered based on the results of Chong et al. 2012 who confirmed that at least one new specimen has been collected between 22 Sep 2006 and 13 Apr 2010. // Chong et al., Biodivers. Conserv. 21: 2589-2599 (2012)"				urn:lsid:ipni.org:names:318676-1	Dioscorea orbiculata Hook.f. var. tenuifolia (Ridl.) Thapyai; Dioscorea oppositifolia auct. non L.	Dioscorea tenuifolia Ridl.	Vulnerable						12	46
788					no	Excluded	no	no				Diospyros apiculata Hiern	2982	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	1			n/a		https://www.ipni.org/n/322084-1					Diospyros apiculata	Spermatophyta	Magnoliopsida	Ericales	Ebenaceae	no	Carmen Puglisi (Jan 2020) says that despite being cited for Singapore in several publications no specimens can be found.		10983	Chong et al. (2009)	10983 - Chong et al. (2009)				Not in mockup {but should be in Excluded section of mockup}		Excluded	Yes	In Excluded section of Checklist ms	This name in db is absent from Checklist ms								Extinct	Nationally Extinct	no	tree		None					urn:lsid:ipni.org:names:322084-1		none	Excluded						6	6
789					yes		no	no				Diospyros argentea Griff.	2983	ok	Name and authors accepted by LCVP	FoSms (= IPNI & POWO)	x	1			n/a		https://www.ipni.org/n/322089-1			yes	Puglisi	Diospyros argentea	Spermatophyta	Magnoliopsida	Ericales	Ebenaceae	yes			45779	assessed here	45779 - assessed here			10989 - Wong et al. (2013)	"Native; EN (Wong et al., 2013)."	yes	Critically Endangered	Yes	Critically Endangered	1586	Native; CR (assessed here).	Only once seen in the last 30 years		"Carmen (Dec 2019) said: Based on the paucity of recent collections (only one in the past 60 years), the conservation status of this species is changed from Endangered to Critically Endangered."	x			Endangered	Endangered	yes	tree		None					urn:lsid:ipni.org:names:322089-1		none	Critically Endangered						21	21
790					yes		yes	no		VU > EN		Diospyros buxifolia (Blume) Hiern	2986	ok	Name and authors accepted by LCVP	FoSms (= IPNI & POWO)	x	1			n/a		https://www.ipni.org/n/322176-1			yes	Puglisi	Diospyros buxifolia	Spermatophyta	Magnoliopsida	Ericales	Ebenaceae	yes			55624	Wong et al. (2013)	11005 - Wong et al. (2013)	x			"Native; VU (Wong et al., 2013)."	no	Critically Endangered	Yes	Critically Endangered	1587	Native; CR (assessed here).	Now assessed as having fewer than 50 plants						Vulnerable	Vulnerable	yes	tree		Diospyros microphylla Bedd.; Diospyros vaccinioides auct. non Lindl.					urn:lsid:ipni.org:names:322176-1	Diospyros microphylla Bedd.	Diospyros microphylla Bedd.	Critically Endangered						19	24
4926					yes		no	no	x			Diospyros celebica Bakh.	2987	ok	Name and authors accepted by LCVP	IPNI (= POWO)	x	2			n/a		https://www.ipni.org/n/322219-1		why is this in Checklist when no ref. other than a pers. comm. (from Carmen) to support it? There are not even any synonyms.			Diospyros celebica	Spermatophyta	Magnoliopsida	Ericales	Ebenaceae	no			11015						Native; NE. {should not be in mockup because Cultivated Only}	yes	Cultivated Only	Yes		Absent from Checklist ms because Cultivated Only													None					urn:lsid:ipni.org:names:322219-1		none	Cultivated Only						1	1
791					yes		no	no				Diospyros clavigera C.B.Clarke	2988		LCVP says Diospyros clavigera C.B.Clarke is a synonym of Diospyros sumatrana Miq.	FoSms (= IPNI & POWO)	x	1			n/a		https://www.ipni.org/n/322243-1	POWO says Diospyros clavigera C.B.Clarke is a synonym of Diospyros sumatrana Miq.		yes	Puglisi	Diospyros clavigera	Spermatophyta	Magnoliopsida	Ericales	Ebenaceae	yes			11016	Chong et al. (2009)	11016 - Chong et al. (2009)				"Native; CR (Chong et al., 2009)."	no	Critically Endangered	Yes	Critically Endangered	1588	"Native; CR (Chong et al., 2009)."							Critically Endangered	Critically Endangered	no	tree		None					urn:lsid:ipni.org:names:322243-1		none	Critically Endangered						17	17
793					yes		no	no				Diospyros coriacea Hiern	2991	ok	Name and authors accepted by LCVP	FoSms (= IPNI & POWO)	x	1			n/a		https://www.ipni.org/n/322271-1			yes	Puglisi	Diospyros coriacea	Spermatophyta	Magnoliopsida	Ericales	Ebenaceae	yes			11036	Wong et al. (2013)	11036 - Wong et al. (2013)				"Native; CR (Wong et al., 2013)."	no	Critically Endangered	Yes	Critically Endangered	1589	"Native; CR (Wong et al., 2013)."							Critically Endangered	Critically Endangered	no	tree		None					urn:lsid:ipni.org:names:322271-1		none	Critically Endangered						17	17
