ID,species,trait_name,value
CALOBM03,Calophyllum ferrugineum,lamina_ldmc,443.677216867373
CALOBM04,Calophyllum ferrugineum,lamina_ldmc,417.725517952977
CALOBM05,Calophyllum ferrugineum,lamina_ldmc,441.912941000002
CALOBM06,Calophyllum ferrugineum,lamina_ldmc,432.754082825575
BACCSU01,Baccaurea sumatrana,lamina_ldmc,245.646890997815
BACCSU02,Baccaurea sumatrana,lamina_ldmc,277.39512057122
BACCSU03,Baccaurea sumatrana,lamina_ldmc,269.932008178905
POPOTO04,Popowia tomentosa,lamina_ldmc,293.800916543291
POPOTO05,Popowia tomentosa,lamina_ldmc,343.855775760359
POPOTO06,Popowia tomentosa,lamina_ldmc,313.267930139114
POPOTO07,Popowia tomentosa,lamina_ldmc,306.265063644429
GYNOAX02,Gynotroches axillaris,lamina_ldmc,244.6778703928
GYNOAX03,Gynotroches axillaris,lamina_ldmc,270.498038694391
GYNOAX04,Gynotroches axillaris,lamina_ldmc,258.744672077389
GYNOAX05,Gynotroches axillaris,lamina_ldmc,263.211589296066
GYNOAX06,Gynotroches axillaris,lamina_ldmc,314.288321719011
GOM1QU01,Gomphandra quadrifida,lamina_ldmc,251.93094530704
GOM1QU02,Gomphandra quadrifida,lamina_ldmc,311.358985661942
GIROPA01,Gironniera parvifolia,lamina_ldmc,387.018646065558
GIROPA02,Gironniera parvifolia,lamina_ldmc,385.054901334603
GIROPA03,Gironniera parvifolia,lamina_ldmc,392.359653942866
GIROPA04,Gironniera parvifolia,lamina_ldmc,390.451396978175
GIROPA05,Gironniera parvifolia,lamina_ldmc,400.246457178065
PALAKI01,Madhuca kingiana,lamina_ldmc,359.704592927963
PALAKI02,Madhuca kingiana,lamina_ldmc,355.286549917166
PALAKI03,Madhuca kingiana,lamina_ldmc,370.11428166927
PALAKI04,Madhuca kingiana,lamina_ldmc,392.183325477388
PALAKI05,Madhuca kingiana,lamina_ldmc,362.68811369395
STREEL04,Streblus elongatus,lamina_ldmc,342.809601404037
STREEL05,Streblus elongatus,lamina_ldmc,337.671694413786
STREEL06,Streblus elongatus,lamina_ldmc,358.054537196728
STREEL07,Streblus elongatus,lamina_ldmc,285.264948664084
SHORCU01,Shorea curtisii,lamina_ldmc,429.080567810747
SHORCU02,Shorea curtisii,lamina_ldmc,417.029287109907
SHORCU03,Shorea curtisii,lamina_ldmc,398.185727648041
SHORCU04,Shorea curtisii,lamina_ldmc,383.075331725546
SHORCU05,Shorea curtisii,lamina_ldmc,435.475838133163
LITSAC01,Litsea accedens,lamina_ldmc,376.718798534306
LITSAC02,Litsea accedens,lamina_ldmc,367.006465279266
LITSAC03,Litsea accedens,lamina_ldmc,376.611624571632
LITSAC04,Litsea accedens,lamina_ldmc,335.355291828682
LITSAC06,Litsea accedens,lamina_ldmc,363.797969735314
LITSAC07,Litsea accedens,lamina_ldmc,346.764025702989
ARDICO02,Ardisia colorata,lamina_ldmc,351.201251710709
ARDICO03,Ardisia colorata,lamina_ldmc,295.662716027919
ARDICO04,Ardisia colorata,lamina_ldmc,286.610154930309
ARDICO05,Ardisia colorata,lamina_ldmc,294.940867873592
ARDICO06,Ardisia colorata,lamina_ldmc,283.987961966791
ARDICO07,Ardisia colorata,lamina_ldmc,314.018313013595
GLUTWA01,Gluta wallichii,lamina_ldmc,382.354908245733
GLUTWA02,Gluta wallichii,lamina_ldmc,426.049496451241
GLUTWA03,Gluta wallichii,lamina_ldmc,419.310793419755
STROCE01,Strombosia ceylanica,lamina_ldmc,370.770432173918
STROCE02,Strombosia ceylanica,lamina_ldmc,311.852996526761
STROCE03,Strombosia ceylanica,lamina_ldmc,345.979058539459
STROCE04,Strombosia ceylanica,lamina_ldmc,350.068229691306
STROCE05,Strombosia ceylanica,lamina_ldmc,372.418021704777
GONYMA01,Gonystylus confusus,lamina_ldmc,396.175717436875
GONYMA02,Gonystylus confusus,lamina_ldmc,392.721601015364
GONYMA03,Gonystylus confusus,lamina_ldmc,378.602476915434
GONYMA04,Gonystylus confusus,lamina_ldmc,370.92254619129
GONYMA05,Gonystylus confusus,lamina_ldmc,382.085730600916
DIOSLA01,Diospyros lanceifolia,lamina_ldmc,414.724375752914
DIOSLA02,Diospyros lanceifolia,lamina_ldmc,414.683999854315
CALOPC01,Calophyllum pulcherrimum,lamina_ldmc,534.748247375835
CALOPC02,Calophyllum pulcherrimum,lamina_ldmc,485.954560013008
CALOPC03,Calophyllum pulcherrimum,lamina_ldmc,481.778120468655
CALOPC04,Calophyllum pulcherrimum,lamina_ldmc,491.194026459591
CALOPC05,Calophyllum pulcherrimum,lamina_ldmc,508.262389595117
CALOPC06,Calophyllum pulcherrimum,lamina_ldmc,479.89361699457
PIMEGR01,Pimelodendron griffithianum,lamina_ldmc,368.345346872025
PIMEGR02,Pimelodendron griffithianum,lamina_ldmc,375.029013688472
PIMEGR03,Pimelodendron griffithianum,lamina_ldmc,348.612590772411
PIMEGR04,Pimelodendron griffithianum,lamina_ldmc,378.556349743557
PIMEGR05,Pimelodendron griffithianum,lamina_ldmc,372.18097205733
ARDITY01,Ardisia teysmanniana,lamina_ldmc,346.792364788617
ARDITY02,Ardisia teysmanniana,lamina_ldmc,311.550812797815
ARDITY03,Ardisia teysmanniana,lamina_ldmc,313.580773306499
ARDITY04,Ardisia teysmanniana,lamina_ldmc,331.485790918703
ARDITY05,Ardisia teysmanniana,lamina_ldmc,340.74532654831
