Name.auth,Dispersal,Pollination,Fruit type by Corlett,Fruit Colour,Fruit type,Fruit Shape,Pericarp,Dehiscence,Fruit Description,Aril,Seed Shape,Seed Colour,Fruit Length (cm) min,Fruit Width (cm) min,No. Seed min,Seed Length (mm) min,Seed width (mm) min,Fruit Length (cm) max,Fruit Width (cm) max,No. Seed max,Seed Length (mm) max,Seed width (mm) max,Fruit Length (cm) mean,Fruit Width (cm) mean,No. Seed mean,Seed Length (mm) mean,Seed width (mm) mean
Connarus grandis Jack,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,pod-like,obovoid,"smooth, glabrous, woody, 2mm",NA,NA,"fleshy, yellow",NA,shining black,5,3.5,NA,NA,NA,7,4,NA,NA,NA,NA,NA,1,NA,NA
Callicarpa longifolia Lamk.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,white,drupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127,NA,NA,NA
Callicarpa maingayi King & Gamble,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green turn red,drupe,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melastoma malabathricum L.,NA,NA,dehiscent,NA,NA,globular,NA,y,"baccate, pulpy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA
Xylopia malayana Hook.f. & Thoms.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,pink,carpel?,NA,NA,NA,brown pubescent,soft thin greyish-white,NA,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,0.254,NA,NA,NA,NA
Schefflera elliptica (Blume) Harms,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,NA,oblong,NA,NA,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,NA
Schefflera oxyphylla (Miq.) Viguier,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,NA,broad ovoid,NA,NA,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,NA
Trema cannabina Lour.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,deep-orange/red,drupe,ovoid,NA,NA,fleshy exocarp,NA,NA,NA,0.2,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,0.2,NA,NA,NA
Trema tomentosa (Roxb.) H. Hara,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,drupe,ovoid,NA,NA,"fleshy exocarp, glabrous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.2,NA,NA,NA
Tetracera akara (Burm. f.) Merr.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,capsule,globular,NA,NA,NA,"6mm, fimbriate",NA,glossy dark brown to black,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,3,2
Tetracera arborescens Jack,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,capsule,ovoid,NA,NA,NA,"3-5mm, laciniate",NA,glossy dark brown to black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.4,1,2.5,1.5
Cheilosa montana Blume,others,insect,dehiscent,dull grey-green,capsule,subglobose,"very thick woody, 0.635 to 0.762cm thick",y,thinly velvety,NA,NA,"red, ochre and black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,3.7,NA,2.54,NA
Baratranthus axanthus (Korth.) Miq.,"ingestion (berries, drupes or aggregate fruits)",bird,simple,brown,drupaceous,elliptic,NA,NA,puberulous,NA,NA,NA,0.3302,NA,NA,NA,NA,0.508,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplectria stipularis (Blume) Kuntze,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,capsule,"ovoid, globular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,NA
Dissochaeta celebica Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,purple,berry,subglobular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,NA
Dissochaeta gracilis (Jack) Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,subglobular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,NA
Pogonanthera pulverulenta (Jack) Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,pea-shaped,NA,NA,small,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,NA
Embelia canescens Jack,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,obovoid,NA,NA,NA,NA,ovoid,black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,1,NA,NA
Embelia coriacea Wall. ex A.DC.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,drupe,globose,NA,NA,NA,NA,ovoid,black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1905,1,NA,NA
Dapania racemosa Korth.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,yellowish-green turning red when dry,capsule (loculicid),obovoid,NA,y,fleshy,"fleshy, bright to whitish yellow, with oily drops",NA,NA,0.5,0.6,1,4,NA,1.1,1,6,5,NA,NA,NA,NA,NA,1.5
Piper lanatum Roxb.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,globose ovoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254,NA,NA,NA,NA
Melicope glabra (Blume) T. G. Hartley,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,follicle,round or elliptic,NA,NA,epicarp subfleshy,NA,round to broadly ellipsoid,NA,0.3,NA,NA,2.5,NA,0.4,NA,NA,3,NA,NA,NA,NA,NA,NA
Melicope hookeri T. G. Hartley,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,follicle,round to obovoid,NA,NA,epicarp subfleshy,NA,round to broadly ellipsoid,NA,0.35,NA,NA,2.5,NA,0.4,NA,NA,3.5,NA,NA,NA,NA,NA,NA
Dendrotrophe buxifolia (Blume) Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,dark red turn shining black,drupe,NA,NA,NA,"exocarp pulpy, endocarp bony",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254,NA,NA,NA,NA
Xylopia ferruginea (Hook.f. & Thoms.) Hook.f. & Thoms.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,carpel?,cylindric,NA,NA,NA,NA,oblong,NA,5.08,NA,NA,NA,NA,12.7,NA,NA,NA,NA,NA,0.254,NA,NA,NA
Tetracera fagifolia Blume,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,capsule,ovoid,NA,NA,NA,"7mm, laciniate",NA,glossy dark brown to black,0.5,0.4,1,NA,NA,0.8,0.6,2,NA,NA,NA,NA,NA,5,3
Styphelia malayana (Jack) Spr.,"ingestion (berries, drupes or aggregate fruits)",bird,simple,yellow or orange to red,baccate drupe,globose to ellipsoid,NA,NA,"glabrous, hard stone, mesocarp thinly pulpy, sweet but adstringent",NA,NA,NA,0.3,0.2,NA,NA,NA,0.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA
Vaccinium acuminatissimum Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,yellow,berry,subglobose,NA,NA,NA,NA,linear,black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3048,NA,NA,NA
Vaccinium littoreum Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,berry,globular,NA,NA,smooth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Claoxylon indicum (Reinw. ex Blume) Hassk.,others,insect,dehiscent,green,capsule,NA,NA,NA,NA,red,subglobose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA
Claoxylon longifolium (Blume) Endl. ex Hassk.,others,insect,dehiscent,NA,capsule,NA,NA,NA,NA,red,subglobose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA
Macaranga bancana (Miq.) Mull. Arg.,others,wind,dehiscent,NA,capsule,NA,NA,NA,NA,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaranga caladiifolia Becc.,others,wind,dehiscent,NA,capsule,NA,NA,NA,NA,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaranga gigantea (Rchb. f. & Zoll.) Mull. Arg.,others,wind,dehiscent,NA,capsule,globose,NA,NA,bilobed glandular,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaranga griffithiana (Müll.Arg.) Müll.Arg.|(Müll.Arg.) Whitmore,NA,NA,dehiscent,NA,capsule,NA,NA,NA,NA,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaranga heynei I.M. Johnst.,others,wind,dehiscent,NA,capsule,NA,NA,NA,bilobed,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3048,NA,NA,NA
Macaranga hosei King ex Hook. f.,others,wind,dehiscent,NA,capsule,NA,NA,NA,NA,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaranga hullettii King ex Hook. f.,others,wind,dehiscent,bluish-green,capsule,flattened orbicular,NA,NA,fleshy,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.016,NA,NA,NA
Macaranga hypoleuca (Rchb. f. & Zoll.) Mull. Arg.,others,wind,dehiscent,NA,capsule,globose,NA,NA,trilobed,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA
Macaranga lowii King ex Hook. f.,others,wind,dehiscent,NA,capsule,NA,NA,NA,puberulous covered with short sharp spines,NA,globose,NA,NA,1.27,NA,NA,NA,NA,1.524,NA,NA,NA,NA,NA,NA,NA,NA
Macaranga pruinosa (Miq.) Müll.Arg.,others,wind,dehiscent,NA,capsule,NA,NA,NA,NA,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaranga recurvata Gage,others,wind,dehiscent,NA,capsule,NA,NA,NA,NA,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaranga trichocarpa (Rchb.f. & Zoll.) Müll.Arg.,others,wind,dehiscent,NA,capsule,NA,NA,NA,"bilobed, thickly covered with white pungent irritating bristles",NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA
Macaranga triloba (Thunb.) Müll. Arg.,others,wind,dehiscent,NA,capsule,NA,NA,NA,trilobed,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA
Mallotus macrostachyus (Miq.) Müll. Arg.,others,wind,dehiscent,NA,capsule,globose,NA,NA,"thinly woody, densely brwon tomentose and spiny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA
Mallotus paniculatus (Lam.) Mull. Arg.,others,wind,dehiscent,NA,capsule,NA,NA,NA,"thinly woody, scattered short stiff spines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA
Mallotus penangensis Müll. Arg.,others,wind,dehiscent,NA,capsule,NA,NA,NA,"thinly woody, sharp spines and white bristly hairs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA
Maesa ramentacea Wall. ex Roxb.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,globose,NA,n,thinly fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254,NA,NA,NA,NA
Aglaia cucullata (Roxb.) Pellegrin,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,yellow,capsule,obovoid,"leathery, thin and brittle",y,NA,"shiny reddish-brown, yellow or white aril covering half the seed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,5,3
Embelia dasythyrsa Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,globose,NA,NA,NA,NA,ovoid,black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Embelia lampani Scheff.,NA,NA,simple,black or purple,drupe,globose,NA,NA,NA,NA,ovoid,black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Embelia ribes Burm. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,drupe,globose,NA,NA,NA,NA,ovoid,black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254,1,NA,NA
Grenacheria amentacea (C. B. Clarke) Mez,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,drupe,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254,1,NA,NA
Grenacheria fulva (Mez) Airy Shaw,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Grenacheria lampani (Scheff.) Mez,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black or purple,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Rapanea porteriana Wall. ex A. DC.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,globose,NA,NA,fleshy,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254,NA,1,NA,NA
Eurya acuminata DC.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,blue-black,berry,globose,NA,NA,"baccate small, glabrous",NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA
Baccaurea hookeri Gage,others,insect,dehiscent,dark green,capsule,oblong-ovoid,NA,NA,"firm, fleshy rind","juicy, sour, pulpy jacket",oblong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,6.35,NA
Bridelia pustulata Hook. f.,others,insect,simple,NA,drupe,globose,NA,n,fleshy,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,0.3048,NA,NA,NA,NA
Bridelia tomentosa Blume,NA,NA,simple,black,drupe,subglobose,NA,n,fleshy,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,0.254,NA,NA,NA
Glochidion borneense (Müll. Arg.) Boerl.,others,insect,dehiscent,green,capsule,globose,NA,NA,"woody, subsessile, glabrous","thin, fleshy, red or orange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3048,NA,NA,NA
Glochidion glomerulatum (Miq.) Boerl.,others,insect,dehiscent,white,capsule,globose,NA,NA,woody,"thin, fleshy, red or orange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA
Glochidion kunstlerianum Gage,others,insect,dehiscent,NA,capsule,sunorbicular,NA,NA,woody,"thin, fleshy, red or orange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254,0.381,NA,NA,NA
Glochidion littorale Blume,others,insect,dehiscent,fleshy pink,capsule,orbicular depressed,NA,NA,woody,"thin, fleshy, red or orange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA
Glochidion lutescens Blume,NA,NA,dehiscent,NA,capsule,NA,NA,NA,woody,"thin, fleshy, red or orange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glochidion rubrum Blume,NA,NA,dehiscent,red,capsule,orbicular flattened,NA,NA,"woody, glabrous","thin, fleshy, red or orange",NA,chestnut-red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508,NA,NA,NA
Glochidion sericeum Hook. f.,others,insect,dehiscent,pinkish,capsule,NA,NA,NA,woody,"thin, fleshy, red or orange",NA,bright red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA
Glochidion singaporense Gage,others,insect,dehiscent,NA,capsule,depressed subglobose,NA,NA,"woody, velvety pubescent","thin, fleshy, red or orange",obliquely triquetrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254,0.3048,NA,NA,NA
Glochidion superbum Baill.,others,insect,dehiscent,pink,capsule,NA,NA,NA,"woody, pubescent","thin, fleshy, red or orange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508,NA,NA,NA
Glochidion varians Miq.,NA,NA,dehiscent,NA,capsule,NA,NA,NA,woody,"thin, fleshy, red or orange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glochidion wallichianum Müll. Arg.,others,insect,dehiscent,NA,capsule,NA,NA,NA,woody,"thin, fleshy, red or orange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glochidion zeylanicum var. arborescens Blume | (Blume) Chakrab. & M.Gangop.,NA,NA,dehiscent,NA,capsule,NA,NA,NA,woody,"thin, fleshy, red or orange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glochidion zeylanicum var. zeylanicum Blume,NA,NA,dehiscent,NA,capsule,NA,NA,NA,woody,"thin, fleshy, red or orange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper caninum Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,bright red,drupe,ovoid-globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254,NA,NA,NA
Gynotroches axillaris Blume,water (fibrous endocarp or viviparous),insect,simple,green to red/ shiny black,berry,globose,NA,NA,NA,NA,ellipsoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1.5,0.5
Hydnophytum formicarum Jack,"ingestion (berries, drupes or aggregate fruits)",bird,simple,orange-red,NA,narrow ellipsoid,NA,NA,"pulpy, 2 coriaceous pyrenes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508,NA,NA,NA,NA
Ixora pendula var. pendula Jack,"ingestion (berries, drupes or aggregate fruits)",bird,simple,deep purple,drupe,ellipsoid,NA,NA,pulpy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508,NA,NA,NA,NA
Lasianthus griffithii Wight,"ingestion (berries, drupes or aggregate fruits)",bird,simple,NA,drupe,ovoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508,NA,NA,NA,NA
Lasianthus scabridus King & Gamble,"ingestion (berries, drupes or aggregate fruits)",insect,simple,purple blue,drupe,NA,NA,NA,glabrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508,NA,NA,NA,NA
Psychotria rostrata Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,white,NA,obovoid,NA,NA,pulpy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508,NA,NA,NA,NA
Melicope lunu-ankenda (Gaertn.) T. G. Hartley,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,follicle,ellipsoid to obovoid,NA,NA,epicarp subfleshy,NA,round to broadly ellipsoid,NA,0.6,NA,NA,3,NA,1.2,NA,NA,6,NA,NA,NA,NA,NA,NA
Casearia tuberculata Blume,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,orange to orange-red,capsule,oblong-ellipsoid,NA,NA,fleshy,fiery-red,NA,NA,3,NA,NA,4,NA,6,NA,NA,6,NA,NA,1.6,NA,NA,NA
Pterisanthes polita (Miq.) Laws.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,berry,pisiform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508,NA,NA,NA,NA
Meiogyne monosperma (Hook.f. & Thomson) Heusden,"ingestion (berries, drupes or aggregate fruits)",insect,simple,brown,NA,oblong or cylindric,NA,NA,smooth,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,0.635,NA,NA,NA,NA
Miliusa longipes King,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,carpel,globular ovoid,NA,NA,"blunt, glabrous",NA,NA,NA,0.635,NA,NA,NA,NA,0.762,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ilex maingayi Hook. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,greenish yellow,drupe,ovoid or globular,NA,NA,NA,NA,NA,NA,0.508,NA,NA,NA,NA,0.635,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglaonema nebulosum N. E. Br.,others,insect,simple,red,drupe,oblong,NA,NA,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,1,NA,NA
Amorphophallus prainii Hook. f.,others,insect,simple,red,drupe,elliptic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
Schefflera ridleyi (King) Viguier,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,NA,ovoid,NA,NA,succulent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
Licuala spinosa Thunb.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,orange,drupe,oblong,NA,NA,NA,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
Pinanga limosa Ridl.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,white,drupe,NA,pulpy-fibrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
Amischotolype mollissima Hassk.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,capsule,subglobose,NA,NA,hairy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
Dillenia excelsa (Jack) Gilg,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,yellowish-green (out); whitish (in),follicle,NA,NA,y,carpels,"2-3mm, red, membranaceous",NA,dark brown,1.8,1.2,1,NA,NA,2,1.6,3,NA,NA,NA,NA,NA,6,4
Dillenia suffruticosa (Griff. ex Hook. f. & Thomson) Martelli,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,red,follicle,NA,NA,y,carpels,"scarlet, membranaceous",NA,brown or black,2,1,1,NA,NA,2.5,1.6,4,NA,NA,NA,NA,NA,NA,NA
Erythroxylum cuneatum (Miq.) Kurz,"ingestion (berries, drupes or aggregate fruits)",insect,simple,bright red,drupe,ellipsoid,NA,NA,mesocarp pulpy,NA,flattened,NA,0.8,0.25,NA,6,1.5,1.2,0.45,NA,10,3,NA,NA,1,NA,NA
Fagraea gigantea Ridl.,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,yellowish,berry,globose,NA,NA,NA,NA,NA,dark brown,NA,0.3,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
Indorouchera griffithiana (Planch.) Hallier f.,others,insect,simple,NA,drupe,ovoid to ellipsoid,NA,NA,exocarp 0.1-0.2mm,arillus,NA,NA,0.45,0.3,NA,3,2.2,0.6,0.45,NA,4.5,2.3,NA,NA,NA,NA,NA
Helixanthera parasitica Lour.,"ingestion (berries, drupes or aggregate fruits)",bird,simple,crimson,drupaceous,ovoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6858,NA,NA,NA,NA
Diplectria viminalis (Jack) Kuntze,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA,NA
Dissochaeta pallida (Jack) Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,cylindric-campanulate,NA,NA,subglabrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
Ardisia tuberculata Wall. ex A. D. C.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,drupe,obovoid,NA,NA,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA
Ardisia villosa Roxb.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,red,drupe,NA,NA,NA,"fleshy, pubescent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
Labisia pumila (Blume) F.-Vill.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,bright red,NA,globose,NA,NA,baccate,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,1,NA,NA
Syzygium avene Miq.,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,NA,berry,almost globular,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,0.4,NA,NA,NA
Syzygium zeylanicum (L.) DC.,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,white,berry,oblong globose,sweet,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,1,NA,NA
Pittosporum ferrugineum W. T. Aiton,others,insect,dehiscent,orange,capsule,NA,NA,NA,rugose,NA,NA,shiny black,0.7,0.9,8,NA,3,1,1.2,24,NA,4,NA,NA,NA,NA,NA
Gaertnera viminea Hook. f. ex C. B.Clarke,"ingestion (berries, drupes or aggregate fruits)",insect,simple,white,drupe/ berry,obovoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,2,NA,NA
Lasianthus appressus Hook. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,globular,NA,NA,pilose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381,NA,NA,NA
Lasianthus attenuatus Jack,"ingestion (berries, drupes or aggregate fruits)",insect,simple,deep blue,drupe,ovoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lasianthus cyanocarpus Jack,"ingestion (berries, drupes or aggregate fruits)",insect,simple,light blue,drupe,ovoid-globular,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
Lasianthus ellipticus Wight,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,obovoid,NA,NA,hairy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3048,NA,NA,NA,NA
