Name.auth,Dispersal,Pollination,Fruit type by Corlett,Fruit Colour,Fruit type,Fruit Shape,Pericarp,Dehiscence,Fruit Description,Aril,Seed Shape,Seed Colour,Fruit Length (cm) min,Fruit Width (cm) min,No. Seed min,Seed Length (mm) min,Seed width (mm) min,Fruit Length (cm) max,Fruit Width (cm) max,No. Seed max,Seed Length (mm) max,Seed width (mm) max,Fruit Length (cm) mean,Fruit Width (cm) mean,No. Seed mean,Seed Length (mm) mean,Seed width (mm) mean
Phrynium parvum (Ridl.) Holtt.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,capsule,oblong,NA,NA,NA,yes,oblong,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
Phrynium villosulum Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,NA,NA,NA,NA,NA,"thin, dry",ellipsoid,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
Schumannianthus dichotomus (Roxb.) Gagnep.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,NA,obconic,NA,NA,NA,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
Stachyphrynium latifolium (Blume) K. Schum.,NA,NA,dehiscent,NA,frostgrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dissochaeta annulata Hook. f. ex Triana,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dissochaeta intermedia Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dissochaeta punctulata Hook. f. ex Triana,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,urceolate,NA,NA,subglabrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macrolenes echinulata (Naudin) Bakh. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,ellipsoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pachycentria constricta (Blume) Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphanamixis sumatrana (Miq.) Ridl.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,red,capsule,NA,NA,NA,glabrous,NA,plano-convex,NA,NA,2,1,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA
